"","altura_cop","fapar","srtm","uspeed","vspeed","clearDays","days20","lightning","month100","pannual","pdriest","pet","pseason","pwettest","tannual","tseason","tmax","clayContent","waterContent"
"altura_cop",89.4867242978873,10.2309280828322,-129.254854228433,-2.19669510213415,-1.95586438737893,-122.584335173014,8.21258300049262,-12.5881068140983,-1.37000630442741,212.493030394129,32.1383474799411,-15.4288787800229,-22.1329024526776,40.2710539879336,0.622349489560937,-4.00821765421438,-3.0421732427067,28.5410289221073,-2.19557369435863
"fapar",10.2309280828322,18.3332045232645,65.0604134241459,0.213127563790843,0.638100010210891,11.6009786735515,0.379739684547483,4.66004605587926,-1.30752706645,193.790005761861,18.331664582198,-10.2750269982334,-12.6471413885971,-12.0081975847054,-0.626528333910049,-0.419435962094136,-0.141255277050057,0.347249566811268,1.78868819958554
"srtm",-129.254854228433,65.0604134241459,11834.5603549437,23.6315811813897,28.6131220200903,2140.30087201708,-259.379058050619,-20.8871175821205,73.3170060379785,-16734.8382331599,-2784.37273443493,262.226076113453,919.489272904443,-448.432376173989,-70.2998180454653,86.8435163042788,49.4763098034811,-108.806599216304,124.317809383617
"uspeed",-2.19669510213415,0.213127563790843,23.6315811813897,0.240488545472892,0.324049881427865,11.6935911085871,-1.04634349921439,1.04862610349644,0.0920420178580953,-35.4287165407432,-8.34737319772609,-0.196560908957445,2.65887691964809,-2.6592386451483,-0.206372598065853,0.323348884087654,0.26786880656921,-1.51965764822636,0.541943280829108
"vspeed",-1.95586438737893,0.638100010210891,28.6131220200903,0.324049881427865,0.977972572281422,18.31795536626,-3.48495171199277,1.48549927765753,-0.0456849192482936,-41.7740648852528,-16.2540336306102,-3.8466173928006,2.87884942459031,-10.3900759895456,-0.422329730893723,0.508547514127694,0.333230968371891,-2.29444071313327,1.66820044437489
"clearDays",-122.584335173014,11.6009786735515,2140.30087201708,11.6935911085871,18.31795536626,1076.90348632679,-130.570441884178,75.4172799602282,20.0228092475885,-4569.18467439305,-974.333793460909,56.6573332481139,299.040958679742,-151.175590985425,-14.3377890335172,27.2001729390047,27.9976518811747,-86.8093239068687,50.1396852777144
"days20",8.21258300049262,0.379739684547483,-259.379058050619,-1.04634349921439,-3.48495171199277,-130.570441884178,70.2327323076509,-5.41318069035854,-6.49568165647701,2023.80298847739,242.131144498589,2.39434205766713,-64.6052836706293,145.523171777306,2.21623914378246,-2.94889963580914,-2.8041913727451,1.00163685638075,-10.2038496897242
"lightning",-12.5881068140983,4.66004605587926,-20.8871175821205,1.04862610349644,1.48549927765753,75.4172799602282,-5.41318069035854,40.8855575726952,-1.8721947293722,487.850073404412,13.487600554226,-8.03360003247427,-13.9346309143904,-6.15754836483113,0.392168533684809,-1.80494541940131,2.36593644597539,-10.2503156726516,0.212036286055494
"month100",-1.37000630442741,-1.30752706645,73.3170060379785,0.0920420178580953,-0.0456849192482936,20.0228092475885,-6.49568165647701,-1.8721947293722,2.21388309620312,-431.297233650887,-58.6488848471912,7.95686430457188,22.4175973749598,2.31681536632283,-0.311473880026465,0.943471065084665,0.82311899442663,0.75355127692526,1.05111063286012
"pannual",212.493030394129,193.790005761861,-16734.8382331599,-35.4287165407432,-41.7740648852528,-4569.18467439305,2023.80298847739,487.850073404412,-431.297233650887,141037.33607696,13558.2095971638,-1009.84731188731,-4607.09066406817,7533.28989488524,102.6321440545,-223.521666118903,-119.829192539309,-199.708892252192,-295.8343768789
"pdriest",32.1383474799411,18.331664582198,-2784.37273443493,-8.34737319772609,-16.2540336306102,-974.333793460909,242.131144498589,13.487600554226,-58.6488848471912,13558.2095971638,2295.08845810959,-146.933005531781,-732.959625152904,109.506775444198,18.9810468446602,-32.4209651548804,-31.6060769684624,7.21651566354985,-66.4359131714801
"pet",-15.4288787800229,-10.2750269982334,262.226076113453,-0.196560908957445,-3.8466173928006,56.6573332481139,2.39434205766713,-8.03360003247427,7.95686430457188,-1009.84731188731,-146.933005531781,71.7306629751924,82.5464005595927,144.812080495621,0.603812041326799,3.25861667262374,4.50487349812239,0.082487733679966,-3.80197655324971
"pseason",-22.1329024526776,-12.6471413885971,919.489272904443,2.65887691964809,2.87884942459031,299.040958679742,-64.6052836706293,-13.9346309143904,22.4175973749598,-4607.09066406817,-732.959625152904,82.5464005595927,284.477175377853,114.926506748492,-5.53503053339038,11.2921235210854,11.144224736101,-3.51862210519769,16.091999253623
"pwettest",40.2710539879336,-12.0081975847054,-448.432376173989,-2.6592386451483,-10.3900759895456,-151.175590985425,145.523171777306,-6.15754836483113,2.31681536632283,7533.28989488524,109.506775444198,144.812080495621,114.926506748492,1863.93679431095,7.55904203436706,-8.22523294919274,9.07730009361999,13.4638960877408,-22.3038728671242
"tannual",0.622349489560937,-0.626528333910049,-70.2998180454653,-0.206372598065853,-0.422329730893723,-14.3377890335172,2.21623914378246,0.392168533684809,-0.311473880026465,102.6321440545,18.9810468446602,0.603812041326799,-5.53503053339038,7.55904203436706,0.758721131889103,-0.546059544978,-0.110566287134768,0.960602068958896,-1.14858177386261
"tseason",-4.00821765421438,-0.419435962094136,86.8435163042788,0.323348884087654,0.508547514127694,27.2001729390047,-2.94889963580914,-1.80494541940131,0.943471065084665,-223.521666118903,-32.4209651548804,3.25861667262374,11.2921235210854,-8.22523294919274,-0.546059544978,2.45833015829224,0.722601843310828,-2.04017441155684,1.28305760989121
"tmax",-3.0421732427067,-0.141255277050057,49.4763098034811,0.26786880656921,0.333230968371891,27.9976518811747,-2.8041913727451,2.36593644597539,0.82311899442663,-119.829192539309,-31.6060769684624,4.50487349812239,11.144224736101,9.07730009361999,-0.110566287134768,0.722601843310828,1.20440283895849,-2.02509513015689,0.919930543081559
"clayContent",28.5410289221073,0.347249566811268,-108.806599216304,-1.51965764822636,-2.29444071313327,-86.8093239068687,1.00163685638075,-10.2503156726516,0.75355127692526,-199.708892252192,7.21651566354985,0.082487733679966,-3.51862210519769,13.4638960877408,0.960602068958896,-2.04017441155684,-2.02509513015689,30.8760682520266,-2.92504716687745
"waterContent",-2.19557369435863,1.78868819958554,124.317809383617,0.541943280829108,1.66820044437489,50.1396852777144,-10.2038496897242,0.212036286055494,1.05111063286012,-295.8343768789,-66.4359131714801,-3.80197655324971,16.091999253623,-22.3038728671242,-1.14858177386261,1.28305760989121,0.919930543081559,-2.92504716687745,15.5446188294321
